cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,1000016861148,폰타나 스파게티 500g,"2,280",(100g당:456원),별점 4.93점,"(23,227개)"
6000098014,면류/즉석식품/소스/오일,0000008333576,순한 너구리120gx5입,"3,650",(1개당:730원),별점 4.93점,"(28,773개)"
6000098014,면류/즉석식품/소스/오일,0000007022439,[해찬들] 그대로 끓여먹는 된장찌개 전용 된장 450g,"2,980",(100g당:663원),별점 4.88점,"(16,220개)"
6000098014,면류/즉석식품/소스/오일,1000018935053,[노브랜드] 라면 한 그릇 115gx5봉입,"1,980",(1개당:396원),별점 4.82점,"(16,882개)"
6000098014,면류/즉석식품/소스/오일,1000042393832,오뚜기 진비빔면156g*4,"3,480",(1개당:870원),별점 4.89점,"(21,394개)"
6000098014,면류/즉석식품/소스/오일,0000006621587,[오뚜기] 컵누들(매콤한맛) 37g,980,(1개당:980원),별점 4.93점,"(23,213개)"
6000098014,면류/즉석식품/소스/오일,1000005901128,[Fontana] 폰타나 발사믹드레싱 270g,"2,880","(100g당:1,067원)",별점 4.89점,"(8,498개)"
6000098014,면류/즉석식품/소스/오일,0000006616190,진라면 소컵-순한맛 (65g*6개),"3,900",(1개당:650원),별점 4.94점,"(39,016개)"
6000098014,면류/즉석식품/소스/오일,0000006609755,[동원 F&B] 고추 참치 39호 (고추 100g*3개),"5,980",(10g당:200원),별점 4.94점,"(26,329개)"
6000098014,면류/즉석식품/소스/오일,0000008307437,[마리오] 블랙 오히블랑까 올리브 310g,"2,980",(10g당:97원),별점 4.91점,"(9,374개)"
6000098014,면류/즉석식품/소스/오일,1000030953268,이마트 카놀라유 1L,"2,980",(100ml당:298원),별점 4.87점,"(5,797개)"
6000098014,면류/즉석식품/소스/오일,0000007390426,[오뚜기] 프레스코 스파게티 소스 (미트) 685g,"4,380",(100g당:640원),별점 4.94점,"(24,622개)"
6000098014,면류/즉석식품/소스/오일,1000034854289,노브랜드 정성깃든고추장 1kg,"3,980",(100g당:398원),별점 4.91점,"(6,246개)"
6000098014,면류/즉석식품/소스/오일,1000029407342,CJ 햇반컵반 스팸마요덮밥 219g,"2,980","(100g당:1,361원)",별점 4.9점,"(7,837개)"
6000098014,면류/즉석식품/소스/오일,1000030621832,[노브랜드] 홈스타일 까르보나라 스파게티소스 250g,"2,080",(100g당:832원),별점 4.88점,"(5,931개)"
6000098014,면류/즉석식품/소스/오일,1000023979903,풀무원 가쓰오우동 940g,"6,980",(100g당:759원),별점 4.9점,"(9,959개)"
6000098014,면류/즉석식품/소스/오일,0000007022396,[샘표] 진간장 금F3 930ml,"5,480",(100ml당:590원),별점 4.93점,"(16,373개)"
